Source - AS,Source - IP,Target - AS,Target - IP,RTTD
-100,172.22.96.1,-100,192.168.1.1,1.8899999999999997
-100,192.168.1.1,-100,192.168.41.1,15.92
-100,192.168.41.1,-100,192.168.8.19,13.36
-100,192.168.8.19,59193,103.232.241.2,1.6099999999999999
59193,103.232.241.2,-100,10.119.254.121,0.4900000000000002
-100,10.119.254.121,-100,10.160.24.5,3.2399999999999998
-100,10.160.24.5,-100,10.255.222.33,1.5599999999999996
-100,10.255.222.33,55836,115.247.100.29,20.259999999999998
55836,115.247.100.29,2914,128.241.7.158,246.48999999999998
2914,128.241.7.158,2914,129.250.3.16,25.829999999999984
2914,129.250.3.16,2914,129.250.6.116,23.48999999999998
2914,129.250.6.116,2914,129.250.3.244,5.939999999999998
2914,129.250.3.244,2914,165.254.239.30,4.0
2914,-14,22414,208.82.237.129,0.6700000000000159
-2,208.82.237.129,2914,129.250.3.101,2.0
2914,129.250.3.101,2914,129.250.3.47,1.0
2914,129.250.3.47,2914,129.250.2.37,85.0
2914,129.250.2.37,2914,129.250.3.242,4.0
2914,129.250.3.242,2914,165.254.239.30,8.0
2914,-14,22414,208.82.237.129,1.0
-3,208.82.237.129,-100,192.168.213.90,31.0
-100,192.168.213.90,-100,192.168.36.15,197.33
-100,192.168.36.15,-100,192.168.34.177,34.33000000000001
-100,192.168.34.177,-100,192.168.48.9,69.0
-100,192.168.48.9,-100,192.168.48.2,61.66
-100,192.168.48.2,-100,192.168.48.33,71.66
-100,192.168.48.33,9498,125.18.92.93,15.340000000000003
9498,125.18.92.93,-100,182.79.152.152,85.67000000000002
-100,182.79.152.152,2914,168.143.191.228,66.66999999999999
2914,168.143.191.228,2914,129.250.5.65,16.660000000000025
2914,129.250.5.65,2914,129.250.3.188,142.66999999999996
2914,129.250.3.188,2914,129.250.3.244,52.0
2914,129.250.3.244,2914,165.254.239.30,33.0
2914,-14,22414,208.82.237.129,74.0
-4,208.82.237.129,36236,199.38.181.1,140.88
36236,199.38.181.1,2914,129.250.3.129,139.82999999999998
2914,129.250.3.129,2914,129.250.6.116,6.84
2914,129.250.6.116,2914,129.250.3.244,2.04
2914,129.250.3.244,2914,165.254.239.30,0.08000000000000007
2914,-14,22414,208.82.237.129,0.009999999999999787
-5,208.82.237.129,6453,116.0.79.129,150.0
6453,116.0.79.129,6453,180.87.181.92,0.0
6453,180.87.181.92,6453,180.87.181.207,5.0
6453,180.87.181.207,6453,64.86.252.32,3.0
6453,64.86.252.32,6453,66.110.59.1,1.0
6453,66.110.59.1,-100,msec,1.0
-100,msec,7922,96.110.33.1,1.0
7922,96.110.33.1,7922,96.110.33.9,5.0
7922,96.110.33.9,7922,96.110.33.5,6.0
7922,96.110.33.5,7922,96.110.45.190,3.0
7922,96.110.45.190,7922,96.110.45.174,8.0
7922,96.110.45.174,7922,96.110.37.189,25.0
7922,96.110.37.189,-100,msec,4.0
-100,msec,7922,96.110.46.137,4.0
7922,96.110.46.137,7922,96.110.46.153,3.0
7922,96.110.46.153,7922,96.110.46.105,0.0
7922,96.110.46.105,7922,96.110.46.118,5.0
7922,96.110.46.118,7922,96.110.39.209,34.0
7922,96.110.39.209,7922,96.110.34.253,0.0
7922,96.110.34.253,7922,96.110.34.241,2.0
7922,96.110.34.241,7922,96.110.34.226,9.0
7922,96.110.34.226,-100,msec,1.0
-100,msec,7922,96.110.39.222,10.0
7922,96.110.39.222,7922,96.110.39.170,5.0
7922,96.110.39.170,7922,96.110.39.46,2.0
7922,96.110.39.46,7922,96.110.34.173,4.0
7922,96.110.34.173,7922,96.110.34.161,8.0
7922,96.110.34.161,7922,96.110.34.173,9.0
7922,96.110.34.173,7922,96.110.34.206,7.0
7922,96.110.34.206,7922,96.110.34.194,5.0
7922,96.110.34.194,7922,96.110.34.206,3.0
7922,96.110.34.206,7922,96.110.32.77,1.0
7922,96.110.32.77,7922,68.86.84.25,2.0
7922,68.86.84.25,7922,68.86.84.17,3.0
7922,68.86.84.17,7922,96.110.40.18,3.0
7922,96.110.40.18,7922,96.110.235.18,0.0
7922,96.110.235.18,7922,68.85.61.202,2.0
7922,68.85.61.202,7922,96.108.111.5,7.0
7922,-14,7922,50.203.200.110,5.0
-1,0,-100,192.168.1.1,2.0
-100,192.168.1.1,-100,192.168.41.1,1.0
-100,192.168.41.1,-100,192.168.8.19,0.6699999999999999
-100,192.168.8.19,59193,103.232.241.2,0.33000000000000007
59193,103.232.241.2,-100,10.119.254.121,0.33000000000000007
-100,10.119.254.121,-100,10.160.24.5,25.67
-100,10.160.24.5,-100,10.255.232.201,20.659999999999997
-100,10.255.232.201,55824,180.149.48.18,20.33
55824,180.149.48.18,55824,180.149.48.6,141.32999999999998
55824,180.149.48.6,55824,180.149.48.20,0.3299999999999841
55824,180.149.48.20,55824,180.149.48.13,84.32999999999998
55824,180.149.48.13,-100,199.109.5.1,2.0
-100,199.109.5.1,-100,199.109.4.14,0.3400000000000034
-100,199.109.4.14,14,128.59.255.5,13.0
14,128.59.255.5,14,128.59.255.21,12.669999999999987
14,-15,14,128.59.105.24,0.6700000000000159
-2,128.59.105.24,2914,129.250.3.7,1.0
2914,129.250.3.7,2914,129.250.2.179,0.0
2914,129.250.2.179,174,154.54.38.157,34.0
174,154.54.38.157,174,154.54.27.169,38.0
174,154.54.27.169,174,154.54.84.214,1.0
174,154.54.84.214,174,38.122.8.210,0.0
174,38.122.8.210,14,128.59.255.5,1.0
14,128.59.255.5,14,128.59.255.21,101.0
14,-15,14,128.59.105.24,101.0
-3,128.59.105.24,-100,192.168.213.90,166.33
-100,192.168.213.90,-100,192.168.36.15,91.99999999999997
-100,192.168.36.15,-100,192.168.34.181,90.66999999999999
-100,192.168.34.181,-100,192.168.48.5,76.33
-100,192.168.48.5,-100,192.168.48.2,50.67
-100,192.168.48.2,-100,192.168.48.49,71.0
-100,192.168.48.49,9498,182.79.27.25,71.66
9498,182.79.27.25,9498,182.79.201.106,275.66999999999996
9498,182.79.201.106,174,154.54.25.149,31.670000000000016
174,154.54.25.149,174,154.54.45.161,25.0
174,154.54.45.161,174,154.54.26.54,88.0
174,154.54.26.54,174,154.54.2.5,6.339999999999975
174,154.54.2.5,174,154.54.28.129,126.66999999999996
174,154.54.28.129,174,154.54.24.221,19.66999999999996
174,154.54.24.221,174,154.54.40.109,45.0
174,154.54.40.109,174,154.54.84.214,116.33999999999997
174,154.54.84.214,174,38.122.8.210,97.33999999999997
174,38.122.8.210,14,128.59.255.5,72.99999999999994
14,128.59.255.5,14,128.59.255.21,0.32999999999992724
14,-15,14,128.59.105.24,75.00000000000006
-4,128.59.105.24,36236,199.38.181.1,21.78
36236,199.38.181.1,174,154.54.81.201,20.75
174,154.54.81.201,174,154.54.80.1,0.08000000000000007
174,154.54.80.1,174,154.54.84.214,0.08000000000000007
174,154.54.84.214,174,38.122.8.210,5.27
174,38.122.8.210,14,128.59.255.5,5.14
14,128.59.255.5,14,128.59.255.21,0.1100000000000001
14,-15,14,128.59.105.24,0.21999999999999997
-5,128.59.105.24,6453,180.87.181.73,38.0
6453,180.87.181.73,6453,180.87.180.1,98.0
6453,180.87.180.1,6453,180.87.181.25,92.0
6453,180.87.181.25,6453,120.29.211.2,7.0
6453,120.29.211.2,6453,120.29.217.67,5.0
6453,120.29.217.67,6453,120.29.211.2,3.0
6453,120.29.211.2,6453,209.58.86.37,98.0
6453,209.58.86.37,174,154.54.12.141,2.0
174,154.54.12.141,174,154.54.43.13,1.0
174,154.54.43.13,174,154.54.44.142,19.0
174,154.54.44.142,174,154.54.42.98,2.0
174,154.54.42.98,174,154.54.31.90,50.0
174,154.54.31.90,174,154.54.44.170,10.0
174,154.54.44.170,174,154.54.7.130,1.0
174,154.54.7.130,174,154.54.82.246,0.0
174,154.54.82.246,174,154.54.84.214,0.0
174,154.54.84.214,174,38.122.8.210,2.0
174,38.122.8.210,14,128.59.255.5,1.0
14,128.59.255.5,14,128.59.255.21,4.0
14,-15,14,128.59.105.24,1.0
